"","alt","choice","price","mincost","extras","network","sms","design","complexity"
"1",1,1,170,170,"games","KPNVodafone",0.23,"trendy","no"
"2",2,0,100,135,"internet","other",0.17,"trendy","no"
"3",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"4",2,1,100,135,"internet","other",0.17,"trendy","no"
"5",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"6",2,1,100,135,"internet","other",0.17,"trendy","no"
"7",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"8",2,1,100,135,"internet","other",0.17,"trendy","no"
"9",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"10",2,1,100,135,"internet","other",0.17,"trendy","no"
"11",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"12",2,1,100,135,"internet","other",0.17,"trendy","no"
"13",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"14",2,1,100,135,"internet","other",0.17,"trendy","no"
"15",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"16",2,1,100,135,"internet","other",0.17,"trendy","no"
"17",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"18",2,1,100,135,"internet","other",0.17,"trendy","no"
"19",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"20",2,1,100,135,"internet","other",0.17,"trendy","no"
"21",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"22",2,1,100,135,"internet","other",0.17,"trendy","no"
"23",1,0,170,170,"games","KPNVodafone",0.23,"trendy","no"
"24",2,1,100,135,"internet","other",0.17,"trendy","no"
"25",1,1,170,170,"internet","KPNVodafone",0.17,"basic","no"
"26",2,0,135,100,"games","other",0.23,"trendy","no"
"27",1,1,170,170,"internet","KPNVodafone",0.17,"basic","no"
"28",2,0,135,100,"games","other",0.23,"trendy","no"
"29",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"30",2,1,135,100,"games","other",0.23,"trendy","no"
"31",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"32",2,1,135,100,"games","other",0.23,"trendy","no"
"33",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"34",2,1,135,100,"games","other",0.23,"trendy","no"
"35",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"36",2,1,135,100,"games","other",0.23,"trendy","no"
"37",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"38",2,1,135,100,"games","other",0.23,"trendy","no"
"39",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"40",2,1,135,100,"games","other",0.23,"trendy","no"
"41",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"42",2,1,135,100,"games","other",0.23,"trendy","no"
"43",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"44",2,1,135,100,"games","other",0.23,"trendy","no"
"45",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"46",2,1,135,100,"games","other",0.23,"trendy","no"
"47",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"48",2,1,135,100,"games","other",0.23,"trendy","no"
"49",1,1,135,170,"internet","other",0.17,"basic","no"
"50",2,0,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"51",1,0,135,170,"internet","other",0.17,"basic","no"
"52",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"53",1,0,135,170,"internet","other",0.17,"basic","no"
"54",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"55",1,0,135,170,"internet","other",0.17,"basic","no"
"56",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"57",1,0,135,170,"internet","other",0.17,"basic","no"
"58",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"59",1,0,135,170,"internet","other",0.17,"basic","no"
"60",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"61",1,0,135,170,"internet","other",0.17,"basic","no"
"62",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"63",1,0,135,170,"internet","other",0.17,"basic","no"
"64",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"65",1,0,135,170,"internet","other",0.17,"basic","no"
"66",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"67",1,0,135,170,"internet","other",0.17,"basic","no"
"68",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"69",1,0,135,170,"internet","other",0.17,"basic","no"
"70",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"71",1,0,135,170,"internet","other",0.17,"basic","no"
"72",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"73",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"74",2,0,135,135,"games","other",0.17,"basic","no"
"75",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"76",2,0,135,135,"games","other",0.17,"basic","no"
"77",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"78",2,0,135,135,"games","other",0.17,"basic","no"
