"","choice","service","household","cost"
"1",FALSE,"budget",1,1.7613
"2",FALSE,"extended",1,13.816
"3",FALSE,"local",1,2.5455
"4",FALSE,"metro",1,3.1476
"5",TRUE,"standard",1,1.7544
"6",FALSE,"budget",2,1.2585
"7",FALSE,"extended",2,13.816
"8",TRUE,"local",2,2.508
"9",FALSE,"metro",2,3.1476
"10",FALSE,"standard",2,1.7544
"11",TRUE,"budget",3,1.6273
"12",FALSE,"extended",3,13.816
"13",FALSE,"local",3,2.4397
"14",FALSE,"metro",3,3.3422
"15",FALSE,"standard",3,1.7544
"16",FALSE,"budget",4,1.5581
"17",FALSE,"extended",4,13.816
"18",TRUE,"local",4,2.3476
"19",FALSE,"metro",4,3.3422
"20",FALSE,"standard",4,1.7544
"21",FALSE,"budget",5,2.1459
"22",FALSE,"extended",5,13.816
"23",TRUE,"local",5,2.6624
"24",FALSE,"metro",5,3.3422
"25",FALSE,"standard",5,1.953
"26",FALSE,"budget",6,2.7788
"27",FALSE,"extended",6,13.816
"28",TRUE,"local",6,2.5734
"29",FALSE,"metro",6,3.3422
"30",FALSE,"standard",6,2.681
"31",FALSE,"budget",7,1.6273
"32",FALSE,"extended",7,13.816
"33",TRUE,"local",7,2.4782
"34",FALSE,"metro",7,3.3422
"35",FALSE,"standard",7,1.7544
"36",TRUE,"budget",8,1.2119
"37",FALSE,"extended",8,13.816
"38",FALSE,"local",8,2.3283
"39",FALSE,"metro",8,3.3422
"40",FALSE,"standard",8,1.7544
"41",FALSE,"budget",9,3.5522
"42",FALSE,"extended",9,13.816
"43",FALSE,"local",9,3.6428
"44",TRUE,"metro",9,3.3422
"45",FALSE,"standard",9,3.5083
"46",FALSE,"budget",10,3.1281
"47",FALSE,"extended",10,13.816
"48",TRUE,"local",10,3.2344
"49",FALSE,"metro",10,3.3422
"50",FALSE,"standard",10,3.0601
"51",FALSE,"budget",11,1.1878
"52",FALSE,"extended",11,13.816
"53",FALSE,"local",11,2.3204
"54",TRUE,"metro",11,3.3422
"55",FALSE,"standard",11,1.7544
"56",FALSE,"budget",12,2.4301
"57",FALSE,"extended",12,13.816
"58",TRUE,"local",12,2.897
"59",FALSE,"metro",12,3.3422
"60",FALSE,"standard",12,2.2885
"61",FALSE,"budget",13,2.4051
"62",FALSE,"extended",13,13.816
"63",FALSE,"local",13,2.8414
"64",TRUE,"metro",13,3.3422
"65",FALSE,"standard",13,2.2597
"66",FALSE,"budget",14,2.7788
"67",FALSE,"extended",14,13.816
"68",TRUE,"local",14,2.3204
"69",FALSE,"metro",14,13.816
"70",FALSE,"standard",14,2.681
"71",FALSE,"budget",15,1.7228
"72",FALSE,"extended",15,13.816
"73",FALSE,"local",15,2.3204
"74",FALSE,"metro",15,13.816
"75",TRUE,"standard",15,1.7544
"76",TRUE,"budget",16,1.4398
"77",FALSE,"extended",16,13.816
"78",FALSE,"local",16,2.3204
"79",FALSE,"metro",16,13.816
"80",FALSE,"standard",16,1.7544
"81",FALSE,"budget",17,2.1005
"82",FALSE,"extended",17,13.816
"83",TRUE,"local",17,2.3204
"84",FALSE,"metro",17,13.816
"85",FALSE,"standard",17,1.8976
"86",FALSE,"budget",18,1.8825
"87",FALSE,"extended",18,13.816
"88",FALSE,"local",18,2.3204
"89",FALSE,"metro",18,13.816
"90",TRUE,"standard",18,1.7544
"91",FALSE,"budget",19,1.6351
"92",FALSE,"extended",19,13.816
"93",FALSE,"local",19,2.3204
"94",FALSE,"metro",19,13.816
"95",TRUE,"standard",19,1.7544
"96",FALSE,"budget",20,2.7625
"97",FALSE,"extended",20,13.816
"98",TRUE,"local",20,2.3204
"99",FALSE,"metro",20,13.816
"100",FALSE,"standard",20,2.6631
"101",FALSE,"budget",21,3.7556
"102",FALSE,"extended",21,13.816
"103",TRUE,"local",21,3.9052
"104",FALSE,"metro",21,3.3422
"105",FALSE,"standard",21,3.7199
"106",TRUE,"budget",22,1.2499
"107",FALSE,"extended",22,13.816
"108",FALSE,"local",22,2.3204
"109",FALSE,"metro",22,3.3422
"110",FALSE,"standard",22,1.7544
"111",TRUE,"budget",23,1.4446
"112",FALSE,"extended",23,13.816
"113",FALSE,"local",23,2.3389
"114",FALSE,"metro",23,3.3422
